Name,Reason
adult,Test and train. Predictor is whether attribute > 50
annealing,Test and train. NA and missing values have different meanings
anonymous-microsoft-web-data,Recommender dataset
artificial-characters,Test and train. Zipped
audiology,Non-standard representation
audiology-standardized,24 classes to predict
auto-mpg,Regression
automobile,Regression
badges,Abnormal dataset
breast-cancer,Restricted access
pittsburgh-bridges,Bad dataset description
census-data,See `adult`
chess-king-rook-vs-king-knight,Not a dataset
chess-domain-theories,Not relevant
bach-chorales,Grammar task
connect-4,Zipped file
japanese-credit-screening,Weird format
computer-hardware,Regression
covertype,Zipped file
diabetes,Zipped file
dgp2,Not a dataset
document-understanding,Weird format
ebl-domain-theories,Not a dataset
function-finding,Not a dataset
horse-colic,Present but has test and training
housing,Regression
icu,Zipped
image-segmentation,Present but has test and training
internet-ads,Messy format (mix of whitespace and commas)
isolet,Zipped file
kinship,Relational learning task
labor-relations,Weird format
led-display-creator,Data is contained in c file
liver-disorders,Ill-defined task
logic-theorist,Not a dataset
lymphography,Restricted access
mechanical-analysis,Zipped file varying number of attributes per instance
meta-data,Regression dataset
mobile-robots,Weird format zipped file
molecular-biology-promotor-gene-sequences,Not multivariate data
molecular-biology-protein-secondary-structure,Not multivariate data
molecular-biology-splice-junction-gene-sequences,Not multivariate data
monks-problems-1,Test and train
monks-problems-2,Test and train
monks-problems-3,Test and train
moral-reasoner,Not multivariate data
multiple-features,Split over multiple files
musk-v1,Zipped file
musk-v2,Zipped file
othello-domain-theory,Not multivariate data
page-blocks-classification,Zipped file
optical-recognition-handwritten-digits,Test and train
pen-based-recognition-handwritten-digits,Test and train
primary-tumor,Restricted access
prodigy,Not multivariate data
qualitative-structure-activity-relationships,Not multivariate data
quadruped-mammals,Data generator not dataset
servo,Regression dataset
solar-flare,Regression dataset
soybean-large,Test and train
challenger-usa-space-shuttle-o-ring,Regression dataset
low-resolution-spectrometer,Weird format
spect-heart,Test and train
spectf-heart,Test and train
sponge,Clustering dataset
statlog-project-vehicle,Multiple files
statlog-project-landsat-satellite,Test and train
statlog-project-shuttle,Test and train. zipped file
statlog-project-australian-credit-screening,Dupe of `credit-approval`
statlog-project-heart-disease,Dupe of `heart-disease-cleveland`
statlog-project-image-segmentation,Dupe of `image-segmentation`
student-loan-relational,Not a dataset
thyroid-disease-allbp,Test and train
thyroid-disease-allhyper,Test and train
thyroid-disease-allhypo,Test and train
thyroid-disease-allrep,Test and train
thyroid-disease-dis,Test and train
thyroid-disease-sick,Test and train
university,Lisp format
water-treatment-plant,Clustering dataset
waveform-database-generator-v1,Zipped file
waveform-database-generator-v2,Zipped file
undocumented,No documentation
twenty-newsgroups,Not multivariate data
australian-sign-language-signs,Zipped file. Multiple files
australian-sign-language-signs-high-quality,Zipped file. Multiple files
us-census-data-1990,Clustering dataset
census-income-kdd,Zipped file. Test and train
coil-1999-competition,7 classes to predict. Test and train
corel-image-features,Zipped files. Multiple files
ecoli-genes,Not multivariate data
eeg-database,No task. Zipped files. Multiple files
el-nino,No task. Zipped file
entree-chicago-recommendation,Recommender system dataset
cmu-face-images,Zipped file. Multiple files
insurance-company-benchmark-coil-2000,Regression dataset
internet-usage-data,No task
ipums-census-database,No task
japanese-vowels,Classes marked by blank lines. Test and train
kdd-cup-1998,Regression dataset
kdd-cup-1999,Zipped file
m-tuberculosis-genes,Not multivariate data
movie,No task
After movie only `multivariate/classification` datasets examined,
robot-execution-failures,Weird format
statlog-australian-credit-approval,Dupe of `credit-approval`
statlog-german-credit-data,Dupe of `statlog-project-german-credit`
statlog-heart,Dupe of `statlog-project-heart-disease`
statlog-landsat-satellite,Dupe of `statlog-project-landsat-satellite`
statlog-image-segmentation,Dupe of `statlog-project-image-segmentation`
statlog-shuttle,Dupe of `statlog-project-shuttle`
statlog-vehicle-silhouettes,Dupe of `statlog-project-vehicle`
poker-hand,Train and test
uji-pen-characters,Multiple files. Weird file format
hill-valley,Train and test
hill-valley-noise,Train and test
arcene,Two classes. Train and test
dexter,Two classes. Sparse matrix representation. Train and test
dorothea,Sparse matrix representation. Train and test
gisette,Classes in separate file. Train and test
madelon,Classes in separate file. Train and test
uji-pen-characters-v2,Weird file format
semeion-handwritten-digit,10 classes
secom,No task. Classes in separate file
acute-inflammations,2 classes
wine-quality,Multiple files
url-reputation,Zipped file. Multiple files. Sparse representation
p53-mutants,Zipped file
demospongiae,Data presented in code
breast-tissue,Excel file
cardiotocography,Excel file
spoken-arabic-digit,No task
auto-univ,Weird file format. Zipped file
steel-plates-faults,Multiple classes
miniboone-particle-identification,Classes marked by position in file
pems-sf,Zipped file. Test and train. Classes in separate file
online-handwritten-assamese-characters,Zipped file. Multiple files. Weird format
pubchem-bioassay-data,Zipped file. Multiple files. Test and train
record-linkage-comparison-patterns,Zipped file. Multiple files
vertebral-column,Zipped file
amazon-commerce-reviews,Zipped file
farm-ads,Zipped file. Sparse representation
kegg-metabolic-reaction-network-directed,No task
kegg-metabolic-reaction-network-undirected,No task
bank-marketing,Zipped file
gas-sensor-array-drift,Zipped file. Multiple files
opportunity-activity-recognition, Zipped file. No task
nomao,Zipped file
restaurant-consumer,Zipped file. Multiple files
northix,Database dump not dataset. zipped file
one-hundred-plant-species-leaves,Zipped file
first-order-theorem-proving,Zipped file. Multiple classes. Test and train
micromass,Zipped file. Multiple files?
blogger,Xlsx file
user-knowledge-modeling,xls file
reuters-rcv1-rcv2,Zipped file. Weird format. Multiple files. Sparse matrix
turkiye-student-evaluation,No task
youtube-multiview-video-games,Large file zipped (2.8G)
susy,Zipped file
higgs,Large zipped file
qualitative-bankruptcy,Zipped file
lsvt-voice-rehabilitation,Zipped file. xlsx file
wilt,Zipped file. Test and train
leaf,Zipped file
tamilnadu-electricity-board,No task
wholesale-customers,No task
diabetes-130-us-hospitals,Zipped file
stoneflakes,No task
tennis-major-tournament-match-statistics,No task. Zipped file
parkinson-speech,Zipped file. Test and train

